phase	Semaine	Date	Type	Km	D+ (m)	notes du coach	allure	zone d'intensité	durée	description	rpe
Build	11	06/08/2025	Seuil	8	25	3 × 8′ @ 88–90 % VMA, récup. 3′ trot ; éch./RC 15′					
Build	11	08/08/2025	Spécifique	7	280	7 km, 280 m D+. 8 × côte 120 m @ 10 %					
Build	11	10/08/2025	EF	15	100	7 km terrain souple, cadence facile					
Build	12	12/08/2025	Trail	12	260	12 km, 260 m D+. 3 × 6′ montée raide (≈ 9 %)					
Build	12	13/08/2025	VMA	6	25	8 × 400 m @ 100 % VMA, récup. 200 m trot					
Build	12	15/08/2025	Spécifique	7	300	7 km, 300 m D+. 10 × côte 100 m @ 10–12 %					
Build	12	17/08/2025	EF	16	120	9 km ondulé, test ravitaillement					
Build	13	19/08/2025	Trail	10	270	13 km, 270 m D+. 5 × 5′ montée (9 %)					
Build	13	20/08/2025	Seuil	8	25	3 × 8′ @ 89–90 % VMA, récup. 3′ trot					
Build	13	22/08/2025	Spécifique	8	330	8 km, 330 m D+. 10 × côte 120 m @ 10–12 %					
Build	13	24/08/2025	EF	12	160	9 km vallonné facile, finish 5′ tempo					
Peak	14	26/08/2025	Trail	12	280	Boucle forêt 12 km, 280 m D+. 5 × 5′ montée (~9 %), descentes contrôlées					
Peak	14	27/08/2025	VMA	8	25	8 × 400 m @ 100 % VMA, r. 200 m trot ; éch./RC 15′					
Peak	14	29/08/2025	Spécifique	8	400	8 km, 400 m D+. 10 × côte 120 m @ 10–12 %, récup. descente					
Peak	14	31/08/2025	EF	16	200	10 km ondulé facile, RPE ≤ 4					
Peak	15	02/09/2025	Trail	14	320	Boucle forêt 14 km, 320 m D+. 5 × 5′ montée (~9 %)					
Peak	15	03/09/2025	Seuil	8	25	3 × 10′ @ 88–90 % VMA, r. 3′ trot ; éch./RC 15′					
Peak	15	05/09/2025	Spécifique	9	400	9 km, 400 m D+. 10 × côte 120 m @ 10–12 %					
Peak	15	07/09/2025	EF	17	255	9 km vallonné, finish 5′ tempo					
Peak	16	09/09/2025	Trail	14	330	Boucle forêt 14 km, 330 m D+. 6 × 4′ montée (~9 %)					
Peak	16	10/09/2025	VMA	8	25	8 × 400 m @ 100 % VMA, r. 200 m trot					
Peak	16	12/09/2025	Spécifique	9	450	9 km, 450 m D+. 12 × côte 120 m @ 10–12 %					
Peak	16	14/09/2025	EF	18	300	9 km vallonné facile, finish 5′ tempo					
affu	17	16/09/2025	Trail	12	250	11 km, 250 m D+. 4 × 4′ montée (≈ 8 %), descentes contrôlées					
affu	17	17/09/2025	VMA	6	20	6 × 400 m @ 100 % VMA, récup. 200 m trot ; éch./RC 15′					
affu	17	19/09/2025	Spécifique	6	200	6 km, 200 m D+. 6 × côte 120 m @ 10 %, récup. descente					
affu	17	21/09/2025	EF	18	230	8 km vallonné, finish 3′ tempo					
affu	18	23/09/2025	Trail	11	200	9 km, 200 m D+. 3 × 3′ montée (≈ 8 %)					
affu	18	24/09/2025	Strides	5	15	Footing 5 km + 6 × 200 m @ 105 % VMA					
affu	18	26/09/2025	Spécifique	5	150	5 km, 150 m D+. 4 × côte 120 m @ 10 %					
affu	18	28/09/2025	EF	15	40	7 km terrain souple, allure facile					
affu	19	30/09/2025	shake-out	7	50	5 km dont 4 × 100 m accélérations					
affu	19	02/10/2025	shake-out	4	30	4 km très facile + 3 × 20 s “rapides mais relâchées”					
COURSE	19	04/10/2025	Course	22,7	959	UTMJ relais Mouthe → Jougne 22,7 km / 959 m D+					
